date,open,high,low,close,volume
2016-01-01,882.0,885.6,876.9,878.75,294006
2016-01-04,876.2,892.45,871.7,880.8,709103
2016-01-05,881.3,905.0,881.3,900.65,1372748
2016-01-06,904.5,911.9,884.0,886.4,1716479
2016-01-07,883.0,891.55,869.0,872.35,990333
2016-01-08,879.0,881.95,866.6,874.6,886022
2016-01-11,870.0,884.0,861.6,873.85,801102
2016-01-12,882.0,885.5,870.2,872.9,998419
2016-01-13,879.95,883.5,850.05,868.55,901426
2016-01-14,863.5,897.0,851.1,889.4,2296682
2016-01-15,893.0,894.95,874.3,879.25,1301590
2016-01-18,890.0,893.0,841.65,850.3,2335330
2016-01-19,867.9,868.4,826.0,845.55,2443365
2016-01-20,834.0,856.0,830.0,840.35,2247202
2016-01-21,850.0,856.0,841.0,844.45,1138753
2016-01-22,853.0,873.4,849.2,869.95,1774017
2016-01-25,870.0,882.0,868.15,878.6,1794107
2016-01-27,880.0,881.8,855.15,858.55,969509
2016-01-28,854.0,865.0,852.15,858.95,1392051
2016-01-29,864.0,875.0,859.0,869.9,1320575
2016-02-01,874.2,890.0,871.3,887.4,786217
2016-02-02,889.9,894.75,878.0,882.5,920875
2016-02-03,876.2,883.95,859.05,863.7,540771
2016-02-04,865.0,895.95,865.0,889.35,1658831
2016-02-05,889.0,903.45,886.4,899.25,1739178
2016-02-08,903.0,907.5,886.0,888.6,783143
2016-02-09,884.9,894.3,878.5,884.2,636386
2016-02-10,888.5,889.0,866.5,876.55,707101
2016-02-11,874.75,874.75,852.0,855.7,1004015
2016-02-12,860.0,873.25,846.5,854.9,1089266
2016-02-15,866.0,872.2,853.0,858.7,703958
2016-02-16,855.05,860.15,836.1,840.3,985215
2016-02-17,844.0,858.95,827.1,856.0,1171983
2016-02-18,862.0,863.8,830.6,835.25,997874
2016-02-19,834.95,856.9,829.0,854.7,799360
2016-02-22,856.0,873.2,854.0,870.85,609601
2016-02-23,871.0,879.9,866.15,877.1,1438921
2016-02-24,879.0,885.75,875.0,881.8,1289097
2016-02-25,880.5,884.9,858.7,861.7,1326303
2016-02-26,868.0,874.0,854.2,862.55,536753
2016-02-29,864.1,868.95,841.6,846.1,890886
2016-03-01,852.6,874.65,850.0,871.95,1161059
2016-03-02,876.0,880.95,866.5,871.85,808137
2016-03-03,874.4,896.5,871.75,880.25,1061326
2016-03-04,886.6,890.1,858.4,865.8,1039977
2016-03-08,867.9,881.8,858.05,875.7,1174011
2016-03-09,876.0,888.8,869.85,876.2,1401934
2016-03-10,870.0,896.0,870.0,894.75,810951
2016-03-11,900.0,903.7,891.55,898.35,1043602
2016-03-14,898.0,903.2,888.6,899.35,788258
2016-03-15,903.0,906.5,876.15,884.6,954046
2016-03-16,880.3,882.0,862.1,864.9,1456263
2016-03-17,870.0,876.0,865.1,872.55,965277
2016-03-18,871.0,877.9,859.95,875.35,1072444
2016-03-21,873.25,875.0,852.4,859.65,1484160
2016-03-22,860.0,860.0,846.05,853.35,1746522
2016-03-23,853.35,856.9,846.25,850.0,917099
2016-03-28,850.0,857.45,842.7,845.4,1722071
2016-03-29,847.4,860.0,845.0,856.1,1101097
2016-03-30,864.0,885.0,861.85,881.85,1470782
2016-03-31,880.5,884.25,865.1,868.4,1682214
2016-04-01,871.0,883.95,865.0,870.0,853331
2016-04-04,874.0,888.5,865.25,886.15,662760
2016-04-05,885.4,885.4,862.0,869.85,762479
2016-04-06,869.7,875.0,860.65,863.3,451307
2016-04-07,864.0,869.0,855.05,858.25,449770
2016-04-08,860.0,861.45,849.6,851.55,448087
2016-04-11,850.0,861.9,842.75,860.0,651373
2016-04-12,861.8,870.0,859.5,866.9,433486
2016-04-13,870.5,876.0,866.0,874.35,692424
2016-04-18,884.25,886.55,875.0,885.2,685762
2016-04-20,885.0,887.75,875.25,885.8,778272
2016-04-21,890.0,895.0,885.1,889.15,702226
