date,open,high,low,close,volume
2016-01-01,449.75,452.9,445.55,449.9,3345654
2016-01-04,448.9,448.9,436.15,438.4,5862854
2016-01-05,439.9,439.9,433.6,436.45,5579449
2016-01-06,439.3,439.3,430.0,430.7,5756267
2016-01-07,425.0,425.15,407.0,409.25,13787371
2016-01-08,413.5,418.75,410.0,413.7,11307470
2016-01-11,410.0,423.4,407.4,417.2,10352347
2016-01-12,419.8,420.65,401.0,406.1,13070476
2016-01-13,410.0,411.45,392.45,406.7,15873927
2016-01-14,394.8,402.0,388.75,390.6,11776737
2016-01-15,392.45,395.85,369.0,374.25,13178892
2016-01-18,372.25,383.35,366.75,373.2,14117119
2016-01-19,376.0,396.0,376.0,393.0,14215698
2016-01-20,385.6,393.4,374.65,387.6,15605644
2016-01-21,400.0,412.45,397.7,409.15,28200956
2016-01-22,419.4,427.65,414.6,424.15,15009103
2016-01-25,429.75,429.75,415.2,420.85,10252421
2016-01-27,424.1,426.5,411.6,415.4,8648945
2016-01-28,416.0,416.9,402.4,405.65,9370465
2016-01-29,396.0,409.8,393.25,408.4,13667701
2016-02-01,410.0,410.35,394.5,399.3,10700914
2016-02-02,399.0,404.45,388.6,390.9,12131028
2016-02-03,387.0,390.0,379.15,380.55,10077279
2016-02-04,385.75,386.6,373.35,382.75,11472602
2016-02-05,384.7,405.0,384.25,399.55,11677917
2016-02-08,401.0,417.95,401.0,408.55,11996680
2016-02-09,401.0,405.9,396.0,399.9,6550274
2016-02-10,397.9,398.0,385.35,393.6,10922352
2016-02-11,392.9,396.75,373.3,377.2,8076824
2016-02-12,389.4,395.95,379.1,391.1,28434501
2016-02-15,395.65,420.0,395.65,417.65,13964589
2016-02-16,420.8,422.5,405.0,405.8,12445006
2016-02-17,406.9,406.9,394.75,403.1,10197761
2016-02-18,410.2,412.1,391.6,398.05,12069460
2016-02-19,395.6,396.9,390.0,392.5,12915275
2016-02-22,395.0,398.75,391.05,397.15,10284642
2016-02-23,397.9,397.9,383.25,385.15,9955791
2016-02-24,385.0,391.0,377.25,386.65,11983475
2016-02-25,386.1,387.8,377.45,378.2,9491615
2016-02-26,385.0,390.3,382.15,386.35,9588881
2016-02-29,387.0,391.65,374.0,375.75,82022905
2016-03-01,380.1,393.2,380.1,392.0,12822550
2016-03-02,400.0,411.8,400.0,407.25,15332044
2016-03-03,411.35,419.0,407.1,417.15,14677533
2016-03-04,418.15,418.15,409.25,416.05,8992492
2016-03-08,415.6,423.05,408.8,411.75,6921273
2016-03-09,409.0,418.2,407.5,416.85,8437253
2016-03-10,417.5,420.0,410.6,413.0,5631550
2016-03-11,413.85,421.95,408.25,412.8,8348484
2016-03-14,417.6,422.25,413.1,415.45,6963673
2016-03-15,417.5,421.75,416.1,418.85,8188560
2016-03-16,419.0,426.35,411.0,424.6,8290044
2016-03-17,430.0,435.0,425.5,428.15,11080947
2016-03-18,429.95,437.6,429.1,436.1,6675930
2016-03-21,439.0,445.5,437.9,444.5,8910574
2016-03-22,447.0,447.6,434.3,441.25,8004834
2016-03-23,439.25,441.25,435.1,437.5,5018310
2016-03-28,437.85,438.6,419.8,422.9,9200929
2016-03-29,423.9,432.9,422.4,429.45,6674980
2016-03-30,433.3,445.7,432.1,444.25,9551121
2016-03-31,443.7,449.0,438.2,444.15,12671936
2016-04-01,440.9,452.0,440.05,449.9,8827751
2016-04-04,451.5,451.55,442.1,444.75,5347581
2016-04-05,443.4,449.5,431.0,432.6,12100258
2016-04-06,433.3,436.3,423.1,424.65,7457831
2016-04-07,427.75,431.8,424.9,426.65,5374072
2016-04-08,426.7,427.35,420.05,421.6,6881318
2016-04-11,423.9,431.9,417.5,429.8,6221772
2016-04-12,430.5,436.45,429.4,434.05,5586212
2016-04-13,440.05,445.3,438.1,440.5,9091282
2016-04-18,444.95,446.05,437.4,445.25,6674315
2016-04-20,446.1,460.65,444.35,459.1,10775664
2016-04-21,463.8,472.75,463.0,467.95,11717618
2016-04-22,465.6,478.5,462.1,475.85,7323373
2016-04-25,474.0,477.35,465.0,469.9,7474910
2016-04-26,470.1,484.9,463.65,480.2,12685893
2016-04-27,461.3,473.5,458.05,465.5,29544825
2016-04-28,463.0,471.85,461.55,468.05,16457436
2016-04-29,466.75,477.45,465.05,472.4,10883473
2016-05-02,474.35,479.0,468.45,471.8,9439328
2016-05-03,473.9,475.0,466.3,470.55,8097969
2016-05-04,466.0,470.0,460.25,462.45,8777977
2016-05-05,463.0,467.3,458.45,461.05,8736141
2016-05-06,461.0,464.05,459.0,461.45,4804806
2016-05-09,465.8,478.0,461.65,477.1,10228014
2016-05-10,479.0,489.0,478.15,487.95,12131886
2016-05-11,482.6,499.35,480.25,498.2,21878712
2016-05-12,498.6,506.9,490.6,492.55,13528266
2016-05-13,493.7,496.2,486.5,490.65,7426191
2016-05-16,492.0,493.65,477.25,486.45,5809867
2016-05-17,490.7,505.5,490.3,503.35,8982435
2016-05-18,498.5,503.0,495.25,501.1,8241793
2016-05-19,501.75,501.75,489.0,490.5,5989236
2016-05-20,493.95,495.7,488.1,490.6,5012902
2016-05-23,495.4,495.4,485.0,486.5,4700955
2016-05-24,483.25,490.95,482.0,488.95,4838908
2016-05-25,494.0,503.0,493.35,502.15,7144175
2016-05-26,502.5,523.0,500.25,519.0,11207975
2016-05-27,520.25,525.0,509.0,512.4,7699491
2016-05-30,513.95,522.05,512.5,513.7,4892196
2016-05-31,515.0,518.7,510.7,515.2,5706744
2016-06-01,524.85,529.45,510.0,511.95,9559476
2016-06-02,510.5,525.0,506.75,524.35,7013241
2016-06-03,527.15,544.95,527.0,542.65,13581215
2016-06-06,542.1,545.0,530.3,532.85,9416306
2016-06-07,539.1,539.1,526.75,534.4,11455340
2016-06-08,536.4,541.45,530.8,539.0,6988719
2016-06-09,542.95,545.9,537.1,542.6,7019405
2016-06-10,540.0,549.15,538.3,541.05,6382258
2016-06-13,529.8,534.6,524.0,531.15,6788154
2016-06-14,535.8,535.8,525.5,529.65,8234417
2016-06-15,531.9,533.4,522.65,528.8,7836638
2016-06-16,528.0,528.3,516.0,523.45,5375177
2016-06-17,526.9,533.9,524.7,526.9,7201452
2016-06-20,515.0,523.9,514.0,522.45,11335041
2016-06-21,524.5,524.5,515.45,517.4,5301794
2016-06-22,517.9,521.0,513.6,516.2,5374493
2016-06-23,518.0,528.0,514.8,526.4,5874012
2016-06-24,502.0,511.6,492.8,510.5,9745784
2016-06-27,507.4,517.6,507.15,514.45,4612787
2016-06-28,515.0,520.5,512.75,514.0,4479273
2016-06-29,518.5,518.95,514.25,517.85,4721178
2016-06-30,522.0,535.25,521.0,533.5,10912401
2016-07-01,535.8,545.7,535.5,542.9,6701034
2016-07-04,545.5,546.95,539.5,543.85,5173772
2016-07-05,541.2,546.25,535.25,539.7,5219466
2016-07-07,539.2,545.9,535.3,542.25,4650991
2016-07-08,541.0,548.5,540.0,546.45,6016471
2016-07-11,551.65,553.0,541.55,544.4,6082359
2016-07-12,550.0,562.1,549.15,561.0,6541827
2016-07-13,563.7,563.7,551.1,556.85,6365885
2016-07-14,555.75,561.7,553.6,560.25,4020476
2016-07-15,556.15,570.45,556.0,565.05,6247207
2016-07-18,570.0,576.8,569.0,571.0,6641864
2016-07-19,570.7,573.85,563.85,565.45,5547223
2016-07-20,563.3,567.85,555.85,558.25,5258296
2016-07-21,557.9,557.9,535.55,538.05,9416152
2016-07-22,537.95,545.3,532.9,537.7,8134377
2016-07-25,518.5,540.0,518.5,538.1,15701682
2016-07-26,539.7,559.2,535.45,553.8,11437473
2016-07-27,553.85,558.1,543.45,548.85,7787071
2016-07-28,548.1,553.35,538.05,543.85,12174235
2016-07-29,542.5,551.8,542.5,546.15,4861274
2016-08-01,546.25,557.7,546.25,550.55,7026398
2016-08-02,552.0,555.6,547.1,549.65,5749264
2016-08-03,549.65,552.95,540.85,549.35,6489800
2016-08-04,551.9,556.0,544.65,547.5,5769753
2016-08-05,552.4,569.0,550.55,567.25,8030392
2016-08-08,568.45,572.4,565.25,571.15,7360104
2016-08-09,570.5,576.0,566.7,574.1,7958291
2016-08-10,574.05,575.3,563.0,567.9,6611328
2016-08-11,564.25,574.9,564.25,569.75,5098948
2016-08-12,569.85,593.2,569.8,591.0,13209690
2016-08-16,593.95,593.95,580.0,583.3,11126973
2016-08-17,588.2,598.0,585.2,589.5,9879769
2016-08-18,591.1,597.3,590.8,593.15,12089285
2016-08-19,595.4,597.6,586.1,588.55,9209878
2016-08-22,589.9,589.95,579.4,580.25,9499230
2016-08-23,581.25,585.0,580.1,582.5,6963978
2016-08-24,584.85,584.85,578.65,583.4,5835501
2016-08-25,586.8,594.0,585.0,586.55,17177795
2016-08-26,586.5,589.0,580.3,586.4,7531289
2016-08-29,586.4,597.0,586.0,589.15,12461059
2016-08-30,592.0,599.25,588.55,591.15,11834475
2016-08-31,591.5,603.85,580.7,596.85,120541914
2016-09-01,597.05,603.0,592.0,596.65,10204784
2016-09-02,597.7,602.0,594.25,599.2,7279782
2016-09-06,602.5,637.8,602.5,635.9,15252302
2016-09-07,637.75,638.3,622.5,625.1,11869960
2016-09-08,626.0,634.0,619.75,629.35,8039571
2016-09-09,615.1,624.7,611.7,613.1,9795054
2016-09-12,597.8,601.85,588.4,592.1,8471237
2016-09-14,593.0,604.65,590.45,601.8,5915220
2016-09-15,601.05,603.0,583.3,588.75,7145326
2016-09-16,592.25,612.4,592.25,602.2,19309804
