date,open,high,low,close,volume
2016-01-01,2284.95,2285.0,2275.1,2280.2,6634
2016-01-04,2295.0,2307.25,2280.0,2304.7,13181
2016-01-05,2309.45,2322.1,2305.1,2319.65,16159
2016-01-06,2334.5,2342.0,2318.0,2333.1,11295
2016-01-07,2355.15,2384.6,2346.05,2366.8,29735
2016-01-08,2361.05,2380.0,2358.1,2360.7,10400
2016-01-11,2371.05,2388.6,2363.0,2368.05,15947
2016-01-12,2372.0,2372.0,2360.15,2363.25,5917
2016-01-13,2349.4,2349.5,2330.0,2331.15,4756
2016-01-14,2346.05,2375.0,2341.05,2367.15,14760
2016-01-15,2346.0,2374.8,2345.55,2370.5,11762
2016-01-18,2395.0,2395.0,2372.1,2385.1,35031
2016-01-19,2377.25,2383.9,2368.0,2376.5,15215
2016-01-20,2387.1,2405.0,2380.05,2394.4,25876
2016-01-21,2400.55,2416.0,2390.0,2398.4,27760
2016-01-22,2393.0,2401.85,2382.2,2386.25,13443
2016-01-25,2385.15,2404.4,2385.15,2400.0,12968
2016-01-27,2426.5,2443.7,2421.05,2427.45,34577
2016-01-28,2431.05,2439.5,2426.65,2430.0,10931
2016-01-29,2415.05,2426.0,2406.0,2423.35,9781
2016-02-01,2425.55,2437.3,2425.55,2433.0,7681
2016-02-02,2436.3,2452.1,2435.5,2448.55,15203
2016-02-03,2451.0,2460.9,2449.1,2453.0,28668
2016-02-04,2484.8,2484.8,2463.5,2471.85,29407
2016-02-05,2482.65,2492.6,2478.1,2485.1,40224
2016-02-08,2500.15,2523.95,2495.0,2520.25,25758
2016-02-09,2556.05,2573.95,2550.25,2566.4,50368
2016-02-10,2570.0,2570.0,2536.55,2539.85,19310
2016-02-11,2566.05,2605.0,2565.15,2595.45,40942
2016-02-12,2635.0,2640.0,2581.05,2629.7,74670
2016-02-15,2614.8,2614.8,2581.3,2587.45,28346
2016-02-16,2567.9,2610.0,2551.8,2602.45,20819
2016-02-17,2602.0,2605.0,2582.0,2585.35,20572
2016-02-18,2580.55,2590.0,2575.6,2583.85,28255
2016-02-19,2615.15,2628.0,2603.0,2612.5,43969
2016-02-22,2612.0,2615.0,2585.0,2588.2,21078
2016-02-23,2604.8,2620.0,2602.05,2616.2,21245
2016-02-24,2625.05,2629.0,2614.05,2624.3,27756
2016-02-25,2626.05,2642.95,2618.3,2639.9,28703
2016-02-26,2631.8,2649.0,2625.55,2635.65,21470
2016-02-29,2627.5,2651.25,2611.05,2648.95,27793
2016-03-01,2660.0,2679.0,2641.75,2651.55,17295
2016-03-02,2629.4,2629.4,2606.5,2611.15,14944
2016-03-03,2612.5,2630.0,2612.5,2626.95,17923
2016-03-04,2646.05,2673.0,2646.05,2667.65,28571
2016-03-08,2667.0,2684.9,2655.1,2675.65,34134
2016-03-09,2654.5,2656.5,2636.05,2648.3,34055
2016-03-10,2645.0,2645.0,2623.15,2631.25,18093
2016-03-11,2655.95,2676.0,2655.95,2668.05,27435
2016-03-14,2659.0,2664.85,2616.25,2660.1,15198
2016-03-15,2629.4,2630.0,2611.0,2613.05,19446
2016-03-16,2625.0,2625.0,2605.0,2606.05,10127
2016-03-17,2630.0,2650.0,2623.0,2645.55,18494
2016-03-18,2635.15,2642.6,2615.0,2618.9,9078
2016-03-21,2605.55,2617.85,2596.1,2604.45,8761
2016-03-22,2604.95,2616.5,2600.6,2604.75,15876
2016-03-23,2599.95,2599.95,2571.0,2574.3,8596
2016-03-28,2547.9,2549.7,2521.65,2533.75,32276
2016-03-29,2541.0,2548.8,2532.05,2543.1,16833
2016-03-30,2565.15,2581.0,2556.2,2569.45,8648
2016-03-31,2545.15,2598.6,2545.15,2563.75,7165
2016-04-01,2555.05,2581.95,2553.0,2578.85,11798
2016-04-04,2583.8,2583.8,2540.15,2547.55,10728
2016-04-05,2557.3,2596.25,2557.3,2590.4,15594
2016-04-06,2599.0,2599.0,2577.05,2590.6,8991
2016-04-07,2586.5,2619.9,2581.8,2615.55,18811
2016-04-08,2616.0,2630.0,2615.0,2625.8,19817
2016-04-11,2630.55,2647.3,2626.1,2628.25,11353
2016-04-12,2631.5,2660.0,2631.5,2655.0,20467
2016-04-13,2644.75,2644.8,2625.0,2634.6,16231
2016-04-18,2624.9,2653.0,2615.0,2649.25,12863
2016-04-20,2657.0,2668.9,2650.55,2656.1,13796
2016-04-21,2656.0,2690.0,2656.0,2684.3,24773
2016-04-22,2670.0,2681.0,2655.05,2669.8,11279
2016-04-25,2667.8,2667.8,2640.05,2644.05,5526
2016-04-26,2651.0,2659.9,2640.3,2645.6,9175
2016-04-27,2652.2,2671.0,2652.2,2661.7,9918
2016-04-28,2660.0,2692.0,2660.0,2687.5,17869
