date,open,high,low,close,volume
2016-01-01,1100.0,1108.95,1093.2,1105.25,903275
2016-01-04,1099.95,1102.45,1076.05,1078.9,1987681
2016-01-05,1085.5,1085.5,1062.25,1074.05,2474893
2016-01-06,1074.65,1074.65,1058.9,1069.35,2794164
2016-01-07,1060.05,1067.9,1047.9,1050.8,2647044
2016-01-08,1061.5,1067.4,1055.5,1063.3,1578358
2016-01-11,1056.3,1069.95,1052.1,1055.7,2680311
2016-01-12,1062.0,1062.95,1030.85,1049.95,3282606
2016-01-13,1057.0,1091.0,1048.1,1083.4,4375647
2016-01-14,1066.0,1155.0,1054.35,1133.0,15113503
2016-01-15,1148.0,1164.0,1137.55,1139.9,6518307
2016-01-18,1139.9,1162.1,1128.35,1131.9,5033306
2016-01-19,1135.0,1158.95,1128.55,1139.65,3750218
2016-01-20,1134.0,1160.0,1117.0,1121.25,3753999
2016-01-21,1135.0,1142.5,1122.0,1137.05,3371500
2016-01-22,1148.1,1152.5,1131.0,1136.25,3218009
2016-01-25,1140.25,1146.85,1124.55,1137.65,2289631
2016-01-27,1146.45,1149.6,1135.0,1138.5,3485981
2016-01-28,1136.0,1142.6,1126.2,1129.6,3894299
2016-01-29,1138.0,1170.0,1131.6,1164.9,5116054
2016-02-01,1170.0,1179.9,1161.6,1173.35,2125563
2016-02-02,1176.85,1190.0,1164.0,1175.55,3816351
2016-02-03,1167.8,1175.9,1152.75,1157.7,2622983
2016-02-04,1160.05,1194.95,1160.05,1179.75,2774673
2016-02-05,1175.5,1186.65,1171.85,1174.7,1992112
2016-02-08,1163.75,1172.2,1143.8,1150.8,2110522
2016-02-09,1128.3,1128.3,1093.5,1107.65,3789786
2016-02-10,1108.0,1127.5,1105.0,1108.55,2933027
2016-02-11,1111.0,1113.0,1071.15,1078.65,2607189
2016-02-12,1094.7,1104.4,1067.0,1084.65,3704048
2016-02-15,1096.25,1100.2,1086.6,1091.75,2546739
2016-02-16,1087.0,1092.75,1073.7,1079.15,2562724
2016-02-17,1081.75,1103.0,1077.0,1097.85,2082299
2016-02-18,1100.0,1127.0,1100.0,1123.4,2094536
2016-02-19,1119.2,1134.2,1113.85,1127.25,1987009
2016-02-22,1131.0,1133.95,1114.05,1126.65,1928505
2016-02-23,1130.25,1132.5,1116.05,1123.9,1250980
2016-02-24,1119.5,1143.75,1118.35,1125.35,2475357
2016-02-25,1125.4,1130.6,1101.1,1110.3,2242264
