date,open,high,low,close,volume
2016-01-01,1279.0,1291.0,1272.55,1289.2,751822
2016-01-04,1286.0,1289.95,1253.3,1255.95,1844842
2016-01-05,1262.8,1269.0,1252.5,1256.9,1646756
2016-01-06,1259.0,1259.8,1235.0,1236.85,1819090
2016-01-07,1228.15,1228.35,1200.0,1206.4,3126507
2016-01-08,1215.1,1216.9,1175.0,1179.1,3570675
2016-01-11,1162.0,1184.9,1145.05,1173.35,2869522
2016-01-12,1186.35,1200.0,1173.25,1179.15,2730130
2016-01-13,1194.0,1194.0,1128.1,1156.75,3746626
2016-01-14,1134.4,1155.0,1110.1,1134.65,3399812
2016-01-15,1139.9,1141.5,1100.0,1107.9,2658578
2016-01-18,1106.0,1110.0,1074.0,1083.55,2777755
2016-01-19,1084.3,1132.5,1069.1,1122.95,2915024
2016-01-20,1100.95,1122.5,1077.35,1116.1,3904503
2016-01-21,1130.0,1137.6,1091.1,1102.7,2534708
2016-01-22,1115.9,1145.0,1110.3,1142.2,2463246
2016-01-25,1151.0,1157.85,1108.9,1114.15,1648544
2016-01-27,1122.0,1122.0,1097.65,1107.8,1745430
2016-01-28,1101.0,1103.5,1070.0,1074.5,3863151
2016-01-29,1074.0,1109.0,1070.2,1101.65,3232658
2016-02-01,1125.0,1158.95,1110.1,1122.05,4702634
2016-02-02,1124.0,1145.0,1111.0,1121.9,3003762
2016-02-03,1106.8,1120.0,1092.3,1108.8,2487730
2016-02-04,1119.0,1149.85,1118.2,1135.7,3971033
2016-02-05,1141.8,1152.0,1126.55,1139.9,2667253
2016-02-08,1141.0,1157.85,1120.4,1130.3,1692831
2016-02-09,1115.0,1127.95,1102.4,1114.2,1682083
2016-02-10,1107.7,1130.0,1103.0,1120.6,2135918
2016-02-11,1118.7,1125.25,1079.0,1092.4,2930014
2016-02-12,1099.6,1102.5,1016.05,1053.65,4106827
2016-02-15,1072.3,1154.7,1064.55,1149.4,3959484
2016-02-16,1157.9,1157.9,1099.3,1104.0,2365827
2016-02-17,1105.6,1133.7,1082.15,1122.45,2319608
2016-02-18,1134.4,1174.95,1133.0,1149.65,3638112
2016-02-19,1146.15,1168.9,1131.4,1150.5,2024596
2016-02-22,1150.0,1168.25,1140.2,1149.75,1369654
2016-02-23,1155.25,1156.0,1125.1,1130.15,1363786
2016-02-24,1122.0,1130.0,1110.0,1112.9,1210767
2016-02-25,1118.0,1120.0,1082.0,1086.45,1770188
2016-02-26,1092.5,1117.5,1092.3,1110.65,1518648
2016-02-29,1114.0,1123.5,1053.05,1076.0,3667329
2016-03-01,1087.0,1129.0,1081.0,1123.95,2431409
2016-03-02,1143.0,1150.9,1133.2,1137.9,2434802
