date,open,high,low,close,volume
2016-01-01,4621.0,4668.0,4602.35,4638.5,243597
2016-01-04,4635.0,4657.0,4571.75,4580.65,405501
2016-01-05,4599.95,4600.75,4557.25,4566.95,509285
2016-01-06,4592.0,4593.0,4468.0,4480.8,593742
2016-01-07,4449.7,4449.7,4251.85,4267.9,1200069
2016-01-08,4286.3,4325.0,4195.8,4214.75,994652
2016-01-11,4190.0,4300.0,4117.0,4272.4,865799
2016-01-12,4310.0,4324.8,4260.0,4266.7,481142
2016-01-13,4298.0,4310.0,4221.35,4291.25,431206
2016-01-14,4239.0,4289.0,4212.7,4248.25,402026
2016-01-15,4265.0,4340.0,4254.0,4273.35,592183
2016-01-18,4279.0,4289.25,4172.85,4236.2,396124
2016-01-19,4241.0,4244.95,4165.0,4198.15,499001
2016-01-20,4169.85,4189.95,4028.5,4058.95,679992
2016-01-21,4084.95,4084.95,3870.0,3891.7,1212801
2016-01-22,3942.95,4119.9,3930.15,4104.95,1063413
2016-01-25,4125.95,4172.0,4073.9,4081.35,608634
2016-01-27,4131.0,4179.0,4092.0,4111.95,886550
2016-01-28,4080.0,4139.9,4031.0,4103.3,1677354
2016-01-29,3925.0,4124.0,3923.0,4095.85,2147231
2016-02-01,4100.9,4119.0,3933.65,3948.25,1904034
2016-02-02,3952.6,3985.0,3851.55,3874.95,902619
2016-02-03,3870.0,3870.0,3784.65,3828.35,1101308
2016-02-04,3864.0,3881.9,3774.0,3794.65,597800
2016-02-05,3784.7,3790.0,3693.3,3723.4,1245857
2016-02-08,3749.0,3789.0,3715.05,3732.55,559505
2016-02-09,3685.0,3689.0,3620.0,3657.1,657011
2016-02-10,3639.85,3718.0,3600.0,3678.55,795377
2016-02-11,3651.1,3664.3,3518.5,3541.45,1066224
2016-02-12,3570.0,3588.0,3461.0,3549.65,1211696
2016-02-15,3605.95,3724.9,3604.4,3711.25,1182286
2016-02-16,3725.25,3748.95,3651.2,3705.2,753873
2016-02-17,3679.9,3755.0,3661.5,3749.15,652019
2016-02-18,3781.25,3796.85,3622.1,3653.25,1243826
2016-02-19,3640.0,3640.0,3559.0,3579.15,718677
2016-02-22,3539.0,3545.0,3491.55,3520.8,1291463
2016-02-23,3530.0,3568.45,3480.0,3487.4,796836
2016-02-24,3499.95,3530.0,3480.0,3489.7,605914
2016-02-25,3509.65,3510.0,3401.0,3414.15,840542
2016-02-26,3452.0,3459.1,3375.1,3409.2,831491
2016-02-29,3425.0,3434.95,3193.25,3236.5,2218323
2016-03-01,3200.9,3510.0,3200.9,3494.4,1924803
2016-03-02,3542.95,3627.7,3540.05,3612.65,1236996
2016-03-03,3625.8,3647.0,3578.0,3608.65,742263
2016-03-04,3619.0,3619.0,3526.0,3555.1,610234
2016-03-08,3552.95,3598.95,3450.6,3462.65,1100041
2016-03-09,3454.85,3600.0,3441.1,3576.4,752948
2016-03-10,3600.0,3634.7,3573.4,3627.2,1016572
2016-03-11,3633.7,3690.0,3616.05,3641.2,1002559
2016-03-14,3660.0,3684.0,3627.05,3648.15,483295
2016-03-15,3670.0,3679.9,3615.5,3654.55,688839
2016-03-16,3650.0,3675.0,3637.5,3667.35,459188
2016-03-17,3686.35,3750.0,3620.0,3635.45,710449
2016-03-18,3640.0,3649.7,3557.05,3621.4,1073782
2016-03-21,3630.1,3678.8,3605.0,3669.55,474712
2016-03-22,3669.0,3735.95,3652.0,3699.55,713115
2016-03-23,3711.85,3744.0,3666.45,3736.0,586282
2016-03-28,3759.0,3777.8,3629.95,3638.95,743468
2016-03-29,3649.0,3769.0,3645.0,3729.95,686482
2016-03-30,3745.0,3749.9,3684.0,3727.45,872340
2016-03-31,3739.5,3748.75,3664.0,3716.3,1223191
2016-04-01,3700.45,3764.95,3682.0,3723.2,769731
2016-04-04,3735.0,3751.5,3676.0,3683.25,299849
2016-04-05,3676.0,3696.9,3536.5,3554.85,826024
2016-04-06,3568.0,3607.3,3546.0,3573.05,664480
2016-04-07,3556.5,3556.5,3450.0,3471.0,1221608
2016-04-08,3460.0,3474.0,3418.5,3430.65,1631533
2016-04-11,3437.0,3488.0,3423.0,3478.65,970375
2016-04-12,3470.2,3609.85,3465.05,3573.7,1404427
