date,open,high,low,close,volume
2016-01-01,802.0,807.5,800.0,805.06,27347
2016-01-04,802.95,803.5,789.0,790.31,40397
2016-01-05,793.87,793.95,787.95,789.81,34797
2016-01-06,789.8,790.88,783.7,785.16,48620
2016-01-07,782.01,783.0,767.25,768.92,156360
2016-01-08,770.0,774.3,769.0,770.63,84434
2016-01-11,766.02,771.1,760.44,766.72,92372
2016-01-12,770.0,770.0,760.0,761.98,66626
2016-01-13,764.35,768.93,752.55,766.27,52408
2016-01-14,761.7,768.92,756.0,762.17,80633
2016-01-15,764.0,764.2,753.7,755.06,36182
2016-01-18,753.51,756.0,744.61,745.65,81076
2016-01-19,749.0,754.99,746.11,752.11,44456
2016-01-20,747.0,748.0,735.0,740.02,94508
2016-01-21,744.45,747.8,735.01,737.93,80770
2016-01-22,740.55,754.0,740.55,753.06,359614
2016-01-25,755.99,758.85,752.25,754.19,38582
2016-01-27,756.0,756.9,751.01,752.65,26832
2016-01-28,751.53,753.9,749.0,750.54,308341
2016-01-29,752.01,764.6,751.32,762.29,65382
2016-02-01,764.0,767.0,763.0,764.14,38694
2016-02-02,764.5,767.0,754.0,755.96,30055
2016-02-03,752.02,752.02,742.35,743.55,385034
2016-02-04,748.19,755.0,744.5,747.59,51881
2016-02-05,750.5,757.4,748.35,756.16,48418
2016-02-08,756.0,758.4,743.5,746.87,48121
2016-02-09,742.5,742.5,735.1,736.84,419238
2016-02-10,735.0,735.0,726.9,731.73,82613
2016-02-11,730.23,730.54,705.5,708.4,185258
2016-02-12,713.0,720.0,696.75,707.73,158134
2016-02-15,711.4,725.85,711.4,723.27,75587
2016-02-16,726.0,727.9,712.15,713.97,61518
2016-02-17,720.0,748.0,705.99,718.48,89466
2016-02-18,720.0,728.9,720.0,726.4,60287
2016-02-19,725.0,730.6,722.99,728.18,37374
2016-02-22,730.0,732.85,728.0,730.98,30397
2016-02-23,730.0,730.02,717.6,719.1,61548
2016-02-24,718.0,718.4,711.6,712.73,55363
2016-02-25,720.98,720.98,706.1,707.32,57975
2016-02-26,708.0,715.0,708.0,713.15,51018
2016-02-29,714.0,718.69,694.6,708.38,130395
2016-03-01,710.35,730.49,710.35,729.01,87985
2016-03-02,730.0,747.8,730.0,746.45,123440
2016-03-03,748.98,755.55,747.5,754.26,81876
2016-03-04,754.26,761.05,751.7,758.14,47284
2016-03-08,758.0,761.0,754.3,757.21,39372
2016-03-09,755.0,762.34,753.0,761.0,46647
2016-03-10,759.0,763.0,752.2,756.73,36123
2016-03-11,757.9,762.0,755.21,758.94,31516
2016-03-14,760.9,767.0,760.9,765.19,54865
2016-03-15,767.12,767.12,756.9,757.23,32414
2016-03-16,757.23,762.45,752.15,761.02,21202
2016-03-17,764.68,768.33,758.01,761.6,39339
2016-03-18,761.05,770.4,761.05,769.77,53198
2016-03-21,761.0,781.8,761.0,780.1,64943
2016-03-22,780.0,792.0,777.0,785.62,67569
2016-03-23,785.2,785.7,778.5,784.74,79654
2016-03-28,784.0,789.89,774.16,779.82,1298837
2016-03-29,779.0,779.0,771.0,773.09,389298
2016-03-30,773.1,786.4,771.0,785.38,39122
2016-03-31,785.0,800.0,784.39,791.27,555794
2016-04-01,790.0,790.0,779.6,781.51,97218
2016-04-04,781.5,787.0,781.5,786.23,42547
2016-04-05,784.2,784.7,771.1,772.54,51612
2016-04-06,775.0,775.0,770.0,772.86,19690
2016-04-07,774.0,774.0,763.95,764.87,61552
2016-04-08,760.0,769.2,760.0,767.57,15552
2016-04-11,769.0,779.8,765.0,778.41,55690
2016-04-12,770.0,781.9,770.0,780.87,28300
2016-04-13,782.98,794.6,782.98,793.3,109749
2016-04-18,795.13,800.99,793.55,800.37,49857
2016-04-20,802.0,804.0,797.1,801.15,51661
2016-04-21,803.2,806.24,798.0,800.43,22268
2016-04-22,799.2,801.67,796.3,799.14,26232
2016-04-25,799.0,799.9,792.01,794.94,19895
2016-04-26,792.9,807.45,792.0,806.31,30742
2016-04-27,805.0,808.3,803.1,806.9,99570
2016-04-28,806.0,808.2,793.0,794.66,58478
2016-04-29,793.2,799.55,789.1,795.17,58831
2016-05-02,793.0,793.0,787.35,791.24,33259
2016-05-03,796.98,800.0,785.33,786.55,43392
2016-05-04,784.01,787.0,781.0,781.7,38952
2016-05-05,782.89,789.75,782.0,787.31,20755
2016-05-06,782.79,795.0,780.0,785.54,32655
2016-05-09,788.7,797.7,784.5,796.73,32602
2016-05-10,795.7,800.25,793.75,798.32,38120
2016-05-11,795.89,798.0,788.54,793.59,46447
2016-05-12,794.0,800.95,793.5,799.08,49723
2016-05-13,797.0,797.0,787.75,790.23,28350
2016-05-16,791.0,799.0,786.69,798.04,22960
2016-05-17,799.0,803.1,797.4,798.45,24967
2016-05-18,795.38,797.69,791.0,795.86,15452
2016-05-19,795.0,796.0,786.5,788.19,16985
2016-05-20,788.0,791.98,785.0,787.09,15070
2016-05-23,789.29,789.9,783.77,784.56,21363
2016-05-24,784.0,785.5,781.69,784.13,19570
2016-05-25,788.88,803.8,787.87,802.35,44147
2016-05-26,803.26,817.9,802.9,815.15,74440
2016-05-27,817.0,825.0,815.28,824.34,89479
2016-05-30,825.5,829.7,824.5,827.58,71871
2016-05-31,830.0,831.0,824.15,826.68,63899
2016-06-01,827.0,831.75,826.0,828.85,32150
2016-06-02,825.1,837.4,825.0,834.99,28361
2016-06-03,836.05,836.9,830.81,832.27,21312
2016-06-06,832.45,834.89,830.19,831.02,18749
2016-06-07,832.77,841.45,832.4,838.04,34152
2016-06-08,838.49,842.0,833.0,840.53,65258
2016-06-09,840.3,840.3,832.05,833.8,18502
2016-06-10,830.0,839.88,830.0,831.23,19391
2016-06-13,828.0,828.0,822.05,826.02,22254
2016-06-14,828.0,828.2,822.0,826.72,20517
2016-06-15,826.0,833.35,825.35,831.92,20049
2016-06-16,829.4,830.41,822.3,829.19,31372
2016-06-17,830.0,833.99,826.5,829.07,28989
2016-06-20,827.0,837.25,823.0,836.31,26729
2016-06-21,832.15,836.2,832.0,833.58,11367
2016-06-22,832.4,836.0,829.0,832.62,13524
2016-06-23,832.4,841.55,831.0,839.56,19758
2016-06-24,825.1,835.0,809.5,824.88,293569
2016-06-27,822.0,826.0,820.0,824.49,24121
2016-06-28,827.98,827.98,822.45,824.67,40779
2016-06-29,825.0,834.0,820.0,832.67,61423
2016-06-30,835.98,844.5,835.98,842.88,89547
2016-07-01,845.0,848.78,843.0,845.28,45795
2016-07-04,847.43,852.9,847.43,850.89,49459
2016-07-05,851.0,851.0,845.0,846.46,52872
2016-07-07,849.99,850.41,844.19,847.11,31045
2016-07-08,848.5,848.5,843.5,845.44,24356
2016-07-11,855.0,862.0,853.0,860.19,84119
2016-07-12,865.0,866.0,860.19,865.32,30168
2016-07-13,864.9,867.0,860.15,865.48,112781
2016-07-14,870.0,870.51,864.0,869.44,63459
2016-07-15,875.0,875.0,867.0,868.04,33087
2016-07-18,870.0,873.5,864.0,865.04,31501
2016-07-19,870.0,870.0,861.51,866.75,83997
2016-07-20,867.0,872.35,866.45,871.49,216979
2016-07-21,872.6,872.6,865.01,865.76,69615
2016-07-22,865.25,872.88,863.7,869.22,29125
2016-07-25,869.0,880.65,867.0,879.56,56814
2016-07-26,879.56,880.99,873.35,875.86,64850
2016-07-27,876.0,882.6,873.0,876.96,29465
2016-07-28,877.0,882.3,876.0,881.18,24286
2016-07-29,882.0,882.8,879.1,881.11,20432
2016-08-01,881.03,886.5,876.1,879.69,34193
2016-08-02,880.0,884.0,876.0,879.53,32866
2016-08-03,861.9,879.9,844.3,870.56,21421
2016-08-04,872.36,876.0,867.1,872.16,32012
2016-08-05,875.45,885.0,875.45,883.87,30255
2016-08-08,885.8,888.2,885.2,886.67,28312
2016-08-09,886.0,886.85,880.1,883.36,51379
2016-08-10,884.0,884.2,875.0,876.08,15404
2016-08-11,870.0,877.0,870.0,874.71,13060
2016-08-12,875.0,882.99,875.0,880.64,31429
2016-08-16,881.0,883.89,876.0,880.32,37394
2016-08-17,880.0,882.75,876.1,877.18,17681
2016-08-18,890.0,890.0,879.35,882.58,23792
2016-08-19,885.0,885.2,880.15,882.65,16789
2016-08-22,883.0,884.95,877.05,878.13,15803
2016-08-23,878.4,880.8,874.8,878.64,11297
2016-08-24,878.8,882.15,877.65,880.74,9087
2016-08-25,882.0,891.0,876.6,877.47,17278
2016-08-26,877.6,880.0,872.5,873.72,15342
2016-08-29,875.2,878.0,871.1,876.4,19811
2016-08-30,878.2,891.1,878.2,889.69,37763
2016-08-31,889.8,897.5,889.08,896.17,32337
2016-09-01,897.5,897.5,891.85,894.34,44842
2016-09-02,894.1,897.0,891.5,896.19,31862
2016-09-06,897.5,911.0,896.0,909.8,70407
2016-09-07,909.85,912.9,907.45,908.9,40008
2016-09-08,908.0,915.0,907.0,912.79,35336
2016-09-09,910.06,910.06,903.35,905.77,56302
2016-09-12,900.0,905.0,889.85,891.09,33600
2016-09-14,890.9,894.2,888.0,892.16,26658
2016-09-15,892.0,892.3,889.0,891.28,13073
2016-09-16,892.8,903.0,892.8,894.84,36685
2016-09-19,895.0,899.0,894.15,897.58,16714
2016-09-20,897.0,897.38,893.0,896.8,14418
2016-09-21,896.0,900.99,894.47,895.71,45453
2016-09-22,910.0,910.0,901.1,903.61,31305
2016-09-23,904.0,905.0,899.8,900.34,17977
2016-09-26,897.18,899.0,890.75,892.21,18175
2016-09-27,892.0,895.0,887.1,888.56,19452
2016-09-28,891.05,895.0,888.0,892.61,15019
2016-09-29,896.5,910.0,876.0,880.58,41039
2016-09-30,880.0,881.14,875.0,878.58,49534
2016-10-03,880.99,892.98,880.99,891.76,26000
2016-10-04,893.2,895.0,890.16,892.93,27237
2016-10-05,895.0,896.11,887.19,890.87,71299
2016-10-06,892.9,894.5,885.15,886.81,54959
2016-10-07,890.0,890.0,884.0,885.85,12010
2016-10-10,888.99,892.0,887.5,889.57,9913
2016-10-13,885.84,887.0,871.59,874.12,39132
2016-10-14,875.0,879.7,873.5,877.29,14589
2016-10-17,878.0,878.0,868.0,869.13,36559
2016-10-18,872.69,883.89,872.1,881.93,78394
2016-10-19,883.0,884.8,880.0,882.14,41654
2016-10-20,884.0,888.4,882.95,886.69,17944
2016-10-21,899.0,918.7,882.0,886.13,9830
2016-10-24,887.0,890.45,885.04,887.73,11929
2016-10-25,887.97,888.1,883.18,887.03,10761
2016-10-26,884.5,884.5,878.51,879.27,17081
2016-10-27,878.5,882.0,875.6,880.79,21445
2016-10-28,885.0,885.0,876.0,881.79,35145
2016-10-30,899.0,900.5,879.5,880.01,5899
2016-11-01,881.0,885.98,880.0,881.84,14108
2016-11-02,875.79,875.79,871.0,872.55,17857
2016-11-03,871.63,874.8,869.02,870.69,10640
2016-11-04,871.0,871.1,860.75,863.49,34696
2016-11-07,868.9,879.0,868.9,872.47,28447
2016-11-08,873.0,888.25,868.75,881.64,22074
2016-11-09,853.75,874.88,826.16,862.42,655446
2016-11-10,900.5,949.9,869.75,875.32,330315
2016-11-11,867.01,867.01,849.01,850.14,166810
2016-11-15,849.0,852.0,829.5,830.88,373652
2016-11-16,834.2,839.57,827.11,829.55,61244
2016-11-17,829.0,834.3,826.1,829.82,29283
2016-11-18,829.74,830.97,824.35,826.81,30880
2016-11-21,828.0,831.0,811.01,813.09,85196
2016-11-22,816.9,821.9,813.15,820.02,49384
2016-11-23,822.9,825.29,816.41,822.53,29758
2016-11-24,818.1,820.79,814.6,817.64,41559
2016-11-25,820.0,829.7,817.0,828.48,24359
2016-11-28,823.09,833.75,822.63,832.45,23918
2016-11-29,670.0,838.95,662.81,833.96,40545
2016-11-30,835.98,840.0,833.0,839.18,246323
2016-12-01,840.0,840.9,834.2,835.29,24718
2016-12-02,831.27,832.99,824.0,826.23,27694
2016-12-05,834.9,834.9,822.6,831.82,25523
2016-12-06,831.0,835.5,831.0,832.54,15532
2016-12-07,835.0,836.0,825.6,827.98,20324
2016-12-08,833.05,841.0,832.98,840.01,245341
2016-12-09,843.0,843.5,839.81,841.85,26762
2016-12-12,840.87,840.87,832.0,833.49,15034
2016-12-13,842.0,842.0,832.11,838.74,8431
2016-12-14,839.08,839.08,832.1,834.33,24909
2016-12-15,832.1,839.0,829.0,832.65,262173
2016-12-16,832.3,833.0,829.4,830.4,16840
2016-12-19,830.0,830.89,827.8,828.91,12670
2016-12-20,829.0,830.05,824.11,826.2,17413
2016-12-21,826.97,829.0,824.1,825.27,14553
2016-12-22,825.0,825.0,814.31,815.9,41598
2016-12-23,817.01,820.19,812.25,816.46,17735
2016-12-26,814.18,815.4,806.55,807.82,51379
2016-12-27,807.5,820.21,807.11,818.64,49567
2016-12-28,819.24,824.75,818.0,818.57,22374
2016-12-29,819.0,826.89,818.2,825.81,24699
2016-12-30,825.14,835.85,825.14,834.89,37001
2017-01-02,840.0,840.0,830.4,835.11,20171
2017-01-03,836.0,838.9,832.0,836.12,20584
2017-01-04,837.0,838.6,833.33,835.8,33485
2017-01-05,841.0,844.95,838.12,843.9,42999
2017-01-06,862.0,862.0,841.11,842.32,34839
2017-01-09,842.0,843.53,840.15,841.29,22913
2017-01-10,843.88,845.5,842.88,844.47,27733
2017-01-11,845.0,854.7,845.0,854.3,41429
2017-01-12,855.0,857.0,854.01,856.65,51570
2017-01-13,858.98,859.58,853.69,856.01,32118
2017-01-16,855.0,858.84,853.5,857.67,30452
2017-01-17,862.0,862.0,854.0,855.6,22353
2017-01-18,857.0,861.5,855.6,857.48,23890
2017-01-19,860.0,860.5,856.0,859.51,15935
2017-01-20,861.0,861.0,850.1,851.03,20497
2017-01-23,850.5,856.9,849.45,854.57,41175
2017-01-24,856.5,863.2,856.5,862.82,66363
2017-01-25,864.0,876.0,864.0,874.59,88083
2017-01-27,873.37,883.59,873.37,879.88,48982
2017-01-30,830.0,881.7,830.0,879.4,31852
2017-01-31,880.0,880.0,871.5,872.28,27766
2017-02-01,875.0,888.7,870.4,887.28,56467
2017-02-02,887.0,891.6,884.11,888.96,41799
2017-02-03,888.95,891.4,887.12,889.93,26034
2017-02-06,895.0,897.9,891.55,896.59,26965
2017-02-07,899.0,899.0,891.31,893.72,23902
2017-02-08,893.61,896.36,889.05,894.36,19235
2017-02-09,895.04,899.0,889.05,894.56,18590
2017-02-10,899.5,899.5,894.35,895.89,13368
2017-02-13,900.0,900.0,892.0,897.0,13857
2017-02-14,900.0,900.0,894.33,897.55,10077
2017-02-15,900.0,900.0,887.02,890.41,20248
2017-02-16,893.0,895.99,888.98,895.12,8765
2017-02-17,898.0,904.0,897.61,899.5,55048
2017-02-20,900.0,905.45,896.11,904.99,22018
2017-02-21,906.0,908.75,903.5,907.16,39070
2017-02-22,909.0,912.77,905.65,909.56,28618
2017-02-23,910.0,914.55,909.0,911.31,48200
2017-02-27,912.0,912.75,906.32,907.49,29032
2017-02-28,910.0,910.0,905.0,906.65,12972
2017-03-01,907.3,916.7,907.3,915.96,563949
2017-03-02,920.0,920.0,909.0,910.72,598020
2017-03-03,907.02,911.09,906.0,910.44,18050
2017-03-06,911.13,916.3,910.0,915.56,14182
