date,open,high,low,close,volume
2016-01-01,1009.8,1018.9,1008.2,1015.35,1238135
2016-01-04,1005.0,1013.8,986.7,995.3,6896571
2016-01-05,1000.3,1010.0,997.0,1005.15,3416459
2016-01-06,1007.6,1038.4,1000.4,1032.2,6116855
2016-01-07,1021.05,1028.0,1008.05,1013.25,4512219
2016-01-08,1020.0,1032.9,1016.7,1025.75,4871839
2016-01-11,1015.95,1060.8,1011.0,1051.6,6632671
2016-01-12,1055.0,1065.4,1041.1,1045.45,5342761
2016-01-13,1053.1,1089.75,1047.2,1076.85,16412811
2016-01-14,1063.85,1081.0,1053.05,1061.65,6359913
2016-01-15,1069.75,1089.5,1065.6,1073.3,6575725
2016-01-18,1075.0,1083.95,1008.1,1016.85,6229959
2016-01-19,1029.0,1049.8,1014.1,1043.6,4912096
2016-01-20,1034.9,1034.9,990.0,1004.55,10312353
2016-01-21,1017.55,1025.75,976.7,984.2,7261772
2016-01-22,994.05,1011.0,994.05,1004.15,5413455
2016-01-25,1010.0,1018.75,1000.0,1003.95,2994340
2016-01-27,1008.1,1010.0,996.95,999.35,3943295
2016-01-28,1001.0,1021.8,997.1,1016.9,5274473
2016-01-29,1018.95,1040.0,1018.0,1035.4,4383577
2016-02-01,1039.95,1041.8,1025.55,1030.3,2267273
2016-02-02,1030.3,1032.8,990.5,1001.15,3376466
2016-02-03,988.0,994.0,975.0,981.4,3586808
2016-02-04,988.0,1001.0,965.7,973.05,4161079
2016-02-05,979.1,982.0,961.4,970.9,4799882
2016-02-08,971.1,984.8,957.95,961.05,2760853
2016-02-09,952.9,968.8,950.0,957.5,4481029
2016-02-10,951.7,973.0,948.65,962.65,3859250
2016-02-11,962.85,965.95,915.5,924.55,3912163
2016-02-12,933.9,933.9,888.1,906.55,6701935
2016-02-15,918.0,951.35,918.0,946.75,4407889
2016-02-16,951.1,958.0,927.0,930.55,2977263
2016-02-17,935.1,957.45,916.4,952.6,3529832
2016-02-18,962.95,968.7,936.0,940.1,3299161
2016-02-19,940.0,952.75,937.35,944.35,2339664
2016-02-22,944.1,968.3,944.1,962.3,2919198
2016-02-23,963.1,967.2,942.75,949.65,4340746
2016-02-24,944.9,958.55,942.0,952.65,3471311
2016-02-25,954.2,956.55,940.85,944.1,5675025
2016-02-26,953.0,958.75,944.3,950.35,1908533
2016-02-29,951.3,994.6,935.0,966.65,7093474
2016-03-01,964.7,985.05,964.65,981.3,3760923
2016-03-02,992.9,1005.75,987.25,1001.5,4595886
2016-03-03,1010.0,1018.0,997.5,1012.85,3630006
2016-03-04,1014.0,1015.0,1003.5,1006.4,2054428
