date,open,high,low,close,volume
2016-01-01,225.0,228.9,224.5,227.8,6449426
2016-01-04,226.95,226.95,220.05,220.7,14092071
2016-01-05,222.8,222.8,217.0,217.75,15074848
2016-01-06,217.9,219.9,216.4,216.85,11921123
2016-01-07,214.0,214.1,209.0,209.55,14342279
2016-01-08,212.0,212.5,208.6,208.95,11745840
2016-01-11,206.8,207.5,202.65,204.3,19287860
2016-01-12,204.85,205.0,198.6,199.4,20318816
2016-01-13,201.35,202.4,194.0,200.9,23788247
2016-01-14,197.0,201.5,194.3,196.05,20256636
2016-01-15,197.8,197.8,181.0,184.3,29090426
2016-01-18,184.9,188.15,179.15,181.0,35653244
2016-01-19,182.15,187.8,181.5,182.95,24501774
2016-01-20,180.65,180.65,171.5,173.65,28655794
2016-01-21,177.0,178.65,172.05,175.6,28697205
2016-01-22,179.9,185.4,178.3,184.6,21432409
2016-01-25,187.9,188.8,182.5,182.95,17534650
2016-01-27,184.4,186.2,181.05,184.4,16569813
2016-01-28,184.2,185.9,182.5,185.25,20241030
2016-01-29,184.2,185.75,178.1,179.9,24259147
2016-02-01,181.95,181.95,172.1,172.75,22915269
2016-02-02,173.1,177.4,168.6,169.4,35957332
2016-02-03,167.8,167.8,163.25,166.05,24132003
2016-02-04,169.3,169.8,160.2,162.85,23811109
2016-02-05,163.7,169.3,162.2,168.2,22732245
2016-02-08,169.45,176.9,168.55,172.15,22289005
2016-02-09,168.0,172.4,166.1,167.05,19008384
2016-02-10,165.0,166.2,158.0,159.0,32294785
2016-02-11,159.5,167.5,152.2,154.25,72749830
2016-02-12,156.15,157.65,148.25,154.8,41187889
2016-02-15,159.0,170.0,158.0,167.85,35956266
2016-02-16,170.75,170.75,155.65,156.4,33816243
2016-02-17,155.0,159.85,151.25,158.95,32447698
2016-02-18,161.95,163.7,156.4,159.8,21024178
2016-02-19,157.9,165.3,157.1,164.7,24592575
2016-02-22,165.95,166.8,163.7,164.95,15815058
2016-02-23,165.0,165.0,158.0,158.5,20200068
2016-02-24,156.0,160.7,155.3,156.3,19440950
2016-02-25,157.6,158.1,151.0,151.8,22713124
2016-02-26,155.5,158.7,152.55,155.9,30051402
2016-02-29,158.2,163.9,153.0,158.75,66981910
2016-03-01,160.5,162.9,158.55,162.05,23588231
2016-03-02,172.5,183.2,172.5,181.15,53333757
2016-03-03,184.0,184.6,178.5,182.75,33507048
2016-03-04,183.4,189.85,178.5,188.4,38860711
2016-03-08,186.95,186.95,181.4,183.35,27928279
2016-03-09,180.0,184.0,178.7,183.4,29453018
2016-03-10,184.75,184.75,179.4,180.5,20472928
2016-03-11,180.0,182.65,177.55,180.1,21869157
2016-03-14,182.45,183.4,180.7,181.75,14369755
2016-03-15,181.65,186.2,181.65,185.3,22369600
2016-03-16,185.0,185.9,181.6,185.2,19237834
2016-03-17,188.0,189.3,185.0,186.35,21560986
2016-03-18,186.85,192.0,186.0,191.25,21144216
2016-03-21,193.0,197.3,193.0,196.8,20678069
2016-03-22,196.8,198.25,194.5,197.5,16728809
2016-03-23,196.9,197.6,195.3,196.6,13362780
2016-03-28,195.8,198.25,187.65,188.3,19760603
2016-03-29,188.5,191.25,186.65,189.5,16804848
2016-03-30,192.25,198.3,190.5,197.55,20709407
2016-03-31,197.85,198.75,192.35,194.25,30132473
2016-04-01,193.7,197.25,192.0,195.65,21752206
2016-04-04,197.3,197.45,192.55,194.7,15732565
2016-04-05,193.9,194.55,183.3,184.35,36635637
2016-04-06,185.0,185.5,182.2,183.85,16350631
2016-04-07,183.8,185.65,181.0,181.95,19430601
2016-04-08,181.65,183.95,180.2,183.1,15805231
2016-04-11,183.85,188.9,182.0,188.25,18990364
2016-04-12,188.5,190.25,186.3,187.8,14563344
2016-04-13,191.55,193.8,190.8,191.9,17573045
2016-04-18,191.45,191.5,185.6,186.75,13985439
2016-04-20,188.35,188.65,184.1,187.3,20163005
2016-04-21,190.5,197.4,190.0,194.35,31008152
2016-04-22,193.6,201.5,191.55,200.15,34049763
2016-04-25,200.95,202.55,195.8,197.05,23835613
2016-04-26,195.95,201.4,194.55,200.95,21809451
2016-04-27,200.9,200.9,195.5,196.15,22801603
2016-04-28,196.75,198.2,191.2,192.05,24555479
2016-04-29,191.9,194.0,186.45,189.0,21021661
2016-05-02,187.6,188.45,185.5,186.0,14469844
2016-05-03,187.0,189.35,183.65,184.05,16247931
2016-05-04,183.5,184.4,179.15,179.95,17826594
2016-05-05,180.25,182.7,178.5,180.35,17742028
2016-05-06,180.95,184.95,180.1,184.35,18336962
2016-05-09,186.5,189.4,185.05,188.7,13863696
2016-05-10,187.6,190.3,186.7,189.5,13845979
2016-05-11,185.4,188.5,184.1,185.0,18128414
2016-05-12,187.1,189.5,185.4,188.5,17398341
2016-05-13,187.95,187.95,184.3,184.85,15546644
2016-05-16,185.0,185.0,175.15,176.8,30937008
2016-05-17,178.5,178.6,175.25,176.85,22183140
