date,open,high,low,close,volume
2016-01-01,810.05,817.9,806.2,815.55,986728
2016-01-04,813.9,821.3,795.1,799.1,2388588
2016-01-05,807.0,807.0,792.05,800.5,1632394
2016-01-06,805.0,805.8,790.75,791.95,2168214
2016-01-07,788.0,799.0,778.65,783.8,2082334
2016-01-08,795.0,805.8,786.0,794.15,2315237
2016-01-11,789.5,804.5,779.1,782.25,3424538
2016-01-12,784.0,794.0,784.0,788.15,1787888
2016-01-13,795.0,804.65,781.5,796.6,3447651
2016-01-14,789.8,796.4,785.7,791.85,3233849
2016-01-15,797.75,799.0,780.2,787.1,2370237
2016-01-18,787.0,797.5,775.0,784.95,4202772
2016-01-19,786.0,796.8,781.25,793.9,2169752
2016-01-20,785.5,805.0,775.6,792.6,4222563
2016-01-21,800.0,803.4,764.0,773.15,3264178
2016-01-22,779.0,794.0,773.3,789.2,1970106
2016-01-25,795.0,814.9,794.45,807.25,2905098
2016-01-27,817.0,823.25,809.3,821.15,3609838
2016-01-28,817.0,836.8,817.0,834.15,4368190
2016-01-29,843.0,878.0,839.1,872.95,4709689
2016-02-01,880.8,888.3,861.9,872.3,3252050
2016-02-02,879.85,883.35,831.1,835.15,2676955
2016-02-03,836.8,855.0,829.3,834.9,2630864
2016-02-04,840.0,847.8,818.15,835.6,2287218
2016-02-05,839.0,860.0,836.55,857.55,2250196
2016-02-08,855.0,864.8,830.0,835.65,1198192
2016-02-09,830.0,860.9,828.1,854.05,2340243
2016-02-10,851.05,865.75,838.2,855.75,3530848
2016-02-11,851.0,858.9,827.0,830.4,2067334
2016-02-12,845.0,884.7,802.45,847.35,5260215
2016-02-15,855.0,867.0,845.1,850.2,3592947
2016-02-16,850.6,857.15,820.2,827.8,1957372
2016-02-17,831.95,859.35,828.0,855.8,1975343
2016-02-18,869.7,876.5,858.1,870.45,2342525
2016-02-19,870.4,870.4,857.0,864.2,1561649
2016-02-22,871.95,885.8,868.0,882.45,2302969
2016-02-23,884.7,898.45,866.25,871.1,2470030
2016-02-24,866.35,870.0,849.6,854.55,1716644
2016-02-25,857.45,880.0,855.55,875.35,3898475
2016-02-26,885.0,890.0,869.1,871.9,2409042
2016-02-29,880.8,880.8,833.7,853.9,3546392
2016-03-01,861.7,873.0,851.3,868.4,2354037
2016-03-02,876.0,877.1,850.0,851.85,3184958
2016-03-03,859.9,873.85,852.6,870.9,2447143
2016-03-04,872.0,874.5,852.6,856.8,1525260
2016-03-08,859.8,871.0,851.25,858.6,2297582
2016-03-09,860.0,863.7,836.9,860.9,3139226
2016-03-10,864.45,868.0,846.5,865.05,2042250
2016-03-11,854.9,870.0,843.6,868.2,2329088
2016-03-14,869.0,876.55,858.6,862.2,2139517
2016-03-15,861.5,861.5,840.6,843.15,2357014
2016-03-16,845.5,847.45,821.65,835.75,2521867
2016-03-17,842.0,843.9,821.8,827.25,2605930
2016-03-18,825.05,825.9,798.4,816.0,5270631
2016-03-21,820.55,838.05,816.8,836.45,3177198
2016-03-22,835.05,847.0,831.9,844.6,2105722
2016-03-23,844.7,852.0,834.6,846.2,2331768
2016-03-28,846.0,846.0,803.0,809.25,4596334
2016-03-29,809.25,811.85,770.0,794.35,7468509
2016-03-30,811.9,815.55,801.05,811.7,3020735
2016-03-31,811.9,829.65,811.9,820.0,5230705
2016-04-01,821.0,824.0,809.4,815.1,1654746
2016-04-04,817.2,821.0,811.1,815.05,1239310
2016-04-05,816.0,816.45,799.5,800.8,2570634
2016-04-06,804.5,811.1,798.05,809.55,1809628
2016-04-07,810.0,822.9,805.1,811.7,2221164
2016-04-08,807.05,817.45,807.05,811.75,1088142
2016-04-11,823.0,826.0,809.2,817.3,2757166
2016-04-12,819.7,827.05,816.35,823.6,1942717
2016-04-13,826.1,835.9,823.0,833.05,2310970
2016-04-18,833.15,841.15,827.3,837.8,2257502
2016-04-20,836.1,836.1,825.2,828.55,2134965
2016-04-21,831.65,837.9,826.8,832.9,1381380
2016-04-22,827.0,828.45,818.15,820.2,2527855
2016-04-25,820.0,821.15,802.0,808.85,3644370
2016-04-26,805.0,817.6,797.0,814.4,4083983
2016-04-27,814.0,816.1,809.2,813.95,1364080
2016-04-28,819.0,819.0,800.0,801.95,4828596
2016-04-29,805.0,813.3,802.0,811.3,2339763
2016-05-02,813.75,816.15,804.5,811.8,1083227
2016-05-03,808.2,813.6,780.0,798.25,5809209
2016-05-04,799.0,806.4,787.05,804.2,2523074
2016-05-05,825.55,828.0,806.5,810.45,3065087
2016-05-06,809.95,815.0,802.25,804.4,1464262
2016-05-09,805.0,811.8,796.0,805.3,2556690
2016-05-10,806.0,811.0,800.3,802.15,2156929
2016-05-11,799.0,806.0,792.0,796.3,2268518
2016-05-12,795.1,805.7,795.1,803.55,1962391
2016-05-13,805.35,805.35,792.5,795.05,2454738
2016-05-16,799.9,802.0,791.7,797.85,2035038
2016-05-17,801.0,802.6,796.5,799.9,2505291
2016-05-18,798.95,799.05,791.0,795.3,2244494
2016-05-19,797.0,797.7,790.0,792.5,3114189
2016-05-20,797.9,797.9,790.0,791.35,2460489
2016-05-23,793.0,793.7,779.3,784.55,2403975
2016-05-24,786.0,787.0,771.0,772.3,2249441
2016-05-25,778.3,789.9,771.2,785.45,1556315
2016-05-26,781.1,788.0,774.05,779.35,1900809
2016-05-27,795.0,828.0,790.1,824.95,3675225
2016-05-30,831.0,842.0,808.25,812.1,4888391
2016-05-31,792.0,799.0,756.0,762.75,15706495
2016-06-01,767.05,771.4,752.45,754.55,4921709
2016-06-02,755.1,758.5,744.55,746.75,4900285
2016-06-03,751.9,751.9,735.05,737.35,5944789
2016-06-06,748.9,750.0,721.85,724.4,6330743
2016-06-07,728.0,741.9,710.15,738.8,7369626
2016-06-08,744.0,744.95,734.4,738.0,3384926
2016-06-09,738.0,745.25,731.5,742.7,3948805
2016-06-10,745.85,747.0,738.4,741.4,2785032
2016-06-13,738.5,748.0,733.15,746.45,2918950
2016-06-14,748.0,755.0,746.55,753.7,2789220
2016-06-15,756.9,758.35,750.0,751.6,1417625
2016-06-16,752.0,756.35,742.7,754.6,2717995
2016-06-17,756.5,758.15,740.1,743.2,3317924
2016-06-20,739.85,746.1,733.85,739.85,3323011
2016-06-21,741.1,745.2,735.2,736.3,3703466
2016-06-22,739.95,741.4,731.4,740.05,3715759
2016-06-23,743.95,757.8,743.0,752.6,3909660
2016-06-24,747.7,765.0,734.0,754.75,7640809
2016-06-27,757.0,775.6,753.3,773.75,4493497
2016-06-28,774.0,779.35,763.55,765.1,2788888
2016-06-29,770.7,774.45,767.6,770.3,2460436
2016-06-30,775.0,776.9,761.0,763.1,4538392
2016-07-01,769.0,769.45,762.05,763.35,2656477
2016-07-04,768.25,774.8,766.15,770.8,1575107
2016-07-05,772.95,778.0,764.25,774.5,2746347
2016-07-07,778.0,782.95,775.0,778.2,2515212
2016-07-08,781.95,785.0,774.45,777.5,2174896
2016-07-11,789.0,793.9,781.5,789.0,4771555
2016-07-12,792.8,793.0,778.15,783.05,3402732
2016-07-13,786.85,794.85,775.0,778.55,3546248
2016-07-14,774.65,774.65,766.85,768.55,4148326
2016-07-15,772.0,774.8,764.1,770.4,5462554
2016-07-18,774.3,781.0,770.9,776.7,3096502
2016-07-19,780.0,787.0,777.6,782.4,3030866
2016-07-20,785.4,798.3,781.55,797.25,4592908
2016-07-21,800.0,806.0,791.0,794.2,3452258
2016-07-22,796.0,796.0,782.0,786.6,2552125
2016-07-25,788.0,805.0,787.0,804.0,3836740
2016-07-26,807.0,808.0,795.1,798.4,2827707
2016-07-27,797.05,810.0,791.25,807.9,2447955
2016-07-28,810.4,828.0,809.5,825.45,3981433
2016-07-29,825.0,839.8,820.55,829.95,3056996
2016-08-01,837.9,840.0,822.7,835.65,2052236
2016-08-02,839.0,847.5,826.85,828.9,2135409
2016-08-03,832.7,847.35,821.3,839.6,2105776
2016-08-04,842.0,854.95,840.1,848.55,2609726
2016-08-05,852.9,854.45,837.05,841.9,1908271
2016-08-08,842.05,844.85,830.4,832.8,3382787
2016-08-09,834.0,835.2,822.6,829.35,1896252
2016-08-10,831.7,833.0,815.05,817.65,1315780
2016-08-11,814.3,818.8,785.2,808.25,6662203
2016-08-12,816.8,825.9,790.55,800.55,8732728
2016-08-16,808.35,808.35,781.2,782.7,5115466
2016-08-17,778.75,790.8,772.8,785.0,3550406
2016-08-18,790.0,794.4,785.5,788.8,1585900
2016-08-19,792.75,793.5,779.6,783.8,3217425
2016-08-22,784.25,785.0,765.0,770.1,5501620
2016-08-23,770.7,770.7,760.0,762.35,3756220
2016-08-24,765.0,775.35,763.55,769.7,3806381
2016-08-25,773.95,777.3,762.05,764.95,2285008
2016-08-26,766.25,768.65,752.75,755.25,1978922
2016-08-29,757.9,762.4,746.6,759.3,2362413
2016-08-30,763.8,777.0,760.95,774.85,1726397
2016-08-31,778.0,782.0,771.3,775.65,3405144
2016-09-01,775.6,778.9,767.25,770.05,1183855
2016-09-02,774.0,784.3,768.0,782.35,1867621
2016-09-06,786.0,789.0,778.3,782.65,1556462
2016-09-07,783.0,784.55,776.55,779.25,1353192
2016-09-08,780.0,809.75,777.3,808.05,3663747
2016-09-09,811.0,818.5,794.1,797.45,4003165
2016-09-12,789.0,795.9,779.1,787.05,2621800
2016-09-14,795.0,796.2,774.4,779.85,3858523
2016-09-15,784.0,792.6,782.15,786.35,1479337
2016-09-16,790.05,794.0,781.25,783.8,2303954
2016-09-19,784.55,789.7,780.55,782.5,1283403
2016-09-20,785.0,786.6,777.0,778.75,2078649
2016-09-21,782.0,784.5,776.35,778.85,1572757
2016-09-22,786.05,788.85,783.3,786.75,1730313
2016-09-23,790.1,790.75,778.0,780.05,1768021
2016-09-26,781.0,784.25,764.6,766.15,2308824
2016-09-27,766.5,776.9,766.15,770.15,1556490
2016-09-28,766.2,773.75,763.4,764.8,2342694
2016-09-29,769.0,770.0,732.0,735.85,5321213
2016-09-30,739.95,745.0,735.1,742.7,2051308
2016-10-03,750.0,761.0,750.0,757.05,1856097
2016-10-04,762.0,773.0,759.25,764.3,2557812
2016-10-05,768.5,768.5,757.3,759.45,1847125
2016-10-06,765.0,766.55,750.1,752.9,1755184
2016-10-07,756.0,756.2,748.8,751.2,1554398
2016-10-10,752.95,758.0,750.0,755.45,1365905
2016-10-13,749.2,753.9,735.1,739.7,2996697
2016-10-14,740.9,747.0,737.4,745.5,1849542
