date,open,high,low,close,volume
2016-01-01,559.8,559.8,554.1,556.45,593536
2016-01-04,557.0,560.0,556.0,557.7,643432
2016-01-05,562.0,565.0,554.25,556.9,878912
2016-01-06,557.0,559.8,553.0,555.1,1148164
2016-01-07,553.0,557.45,547.1,549.85,2094055
2016-01-08,552.1,557.85,549.55,555.8,871557
2016-01-11,552.0,553.95,534.4,537.45,1866410
2016-01-12,536.5,551.0,531.2,548.9,1309157
2016-01-13,547.0,551.9,540.45,546.5,672669
2016-01-14,545.0,549.9,536.0,545.25,1094750
2016-01-15,546.6,548.85,537.0,543.1,625158
2016-01-18,537.0,550.8,530.75,547.15,1693486
2016-01-19,548.0,552.0,538.0,542.0,957428
2016-01-20,539.05,551.9,533.2,542.55,1169646
2016-01-21,541.55,555.0,541.55,550.8,1743800
2016-01-22,555.7,555.7,547.1,550.1,833487
2016-01-25,547.9,549.8,543.8,547.05,795530
2016-01-27,550.0,554.95,543.55,552.55,2092598
2016-01-28,553.2,553.7,544.4,547.25,1211162
2016-01-29,548.6,565.7,548.6,562.8,1450233
2016-02-01,565.6,573.9,557.3,568.15,1506973
2016-02-02,570.1,571.55,564.2,567.25,1285343
2016-02-03,566.5,566.5,554.05,557.8,602527
2016-02-04,560.3,561.65,553.7,559.95,1051872
2016-02-05,560.0,565.8,555.4,557.9,1076643
2016-02-08,558.05,560.2,543.3,545.0,822141
2016-02-09,539.9,539.9,534.0,536.25,800236
2016-02-10,536.25,536.65,528.0,531.2,967008
2016-02-11,531.2,532.3,513.1,517.2,988027
2016-02-12,524.8,529.45,508.25,517.3,1799742
2016-02-15,522.9,527.6,518.15,525.75,977686
2016-02-16,527.0,530.5,521.15,526.6,691104
2016-02-17,523.0,529.95,517.25,526.95,1080696
2016-02-18,528.1,543.8,528.1,541.3,888820
2016-02-19,541.4,549.5,538.15,547.35,1081601
2016-02-22,547.2,548.1,536.5,542.75,847687
2016-02-23,542.15,543.7,535.6,539.95,944414
2016-02-24,540.1,542.25,530.5,533.95,972998
2016-02-25,534.4,538.75,522.1,533.85,959822
2016-02-26,540.2,541.9,526.7,530.5,984483
2016-02-29,529.0,531.85,507.9,520.25,2079616
2016-03-01,525.0,539.0,523.45,535.45,1725272
2016-03-02,540.0,541.85,530.15,539.55,1790337
2016-03-03,540.15,548.45,535.25,542.7,1220839
2016-03-04,544.9,545.65,535.1,536.95,1600026
2016-03-08,537.7,543.5,534.2,541.45,1551999
2016-03-09,542.0,542.0,533.25,538.15,1986973
