SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TIMESTAMP
ASIANPAINT,1125.0,1128.85,1099.0,1109.15,930404,2017-06-28
AXISBANK,493.8,500.35,490.05,492.0,12691859,2017-06-28
BHARTIARTL,374.9,381.65,367.5,377.2,3794226,2017-06-28
GOLDBEES,2620.0,2620.0,2595.75,2599.2,12338,2017-06-28
HDFCBANK,1665.0,1675.0,1657.8,1666.45,1112259,2017-06-28
HINDUNILVR,1095.0,1104.95,1084.25,1090.0,1084236,2017-06-28
ICICIBANK,288.75,293.3,288.75,290.35,17157094,2017-06-28
INFY,932.8,933.0,921.0,924.7,2952612,2017-06-28
ITC,311.6,311.6,307.1,308.35,7919072,2017-06-28
KOTAKBANK,983.75,983.75,967.85,972.2,1333766,2017-06-28
LT,1698.85,1708.0,1681.35,1703.25,1052350,2017-06-28
MARUTI,7213.95,7324.0,7205.0,7225.05,637214,2017-06-28
NIFTYBEES,975.0,975.0,970.33,972.68,17982,2017-06-28
RELIANCE,1439.95,1439.95,1395.55,1398.5,3558538,2017-06-28
SBIN,277.6,278.45,273.75,276.4,17241351,2017-06-28
SUNPHARMA,543.8,548.15,538.0,545.45,5278948,2017-06-28
TCS,2349.9,2358.0,2335.0,2350.05,894863,2017-06-28
TITAN,516.4,516.6,500.6,507.3,1545428,2017-06-28
ULTRACEMCO,3878.0,3966.3,3840.55,3958.25,261198,2017-06-28
WIPRO,258.0,259.4,254.25,258.4,1668027,2017-06-28
ASIANPAINT,1157.5,1174.9,1150.15,1171.0,445227,2017-11-28
AXISBANK,559.5,565.9,558.0,562.55,10113136,2017-11-28
BHARTIARTL,497.95,497.95,490.2,492.0,3016416,2017-11-28
GOLDBEES,2650.15,2653.9,2645.0,2648.25,11711,2017-11-28
HDFCBANK,1856.0,1871.0,1855.85,1865.35,1272635,2017-11-28
HINDUNILVR,1263.0,1272.95,1262.4,1267.85,975006,2017-11-28
ICICIBANK,313.1,315.35,311.75,313.2,13929413,2017-11-28
INFY,994.4,999.9,981.3,984.7,2308434,2017-11-28
ITC,259.1,259.2,256.0,257.0,17508901,2017-11-28
KOTAKBANK,1036.0,1040.0,1026.1,1029.85,734677,2017-11-28
LT,1228.0,1228.0,1209.0,1211.7,4940494,2017-11-28
MARUTI,8490.6,8658.0,8476.05,8624.15,456041,2017-11-28
NIFTYBEES,1075.0,1075.0,1060.0,1068.41,8691,2017-11-28
RELIANCE,949.85,951.35,938.1,943.35,4641893,2017-11-28
SBIN,336.0,336.7,331.2,332.0,16054996,2017-11-28
SUNPHARMA,551.0,556.35,541.1,543.15,2493500,2017-11-28
TCS,2686.0,2702.4,2670.0,2685.3,455858,2017-11-28
TITAN,832.0,833.0,815.0,818.1,1748906,2017-11-28
ULTRACEMCO,4272.0,4321.8,4252.35,4275.9,165542,2017-11-28
WIPRO,295.0,295.9,293.3,294.85,1503548,2017-11-28
ASIANPAINT,1003.1,1026.8,998.15,1024.2,1368244,2017-02-28
AXISBANK,509.4,512.5,504.6,506.65,5799421,2017-02-28
BHARTIARTL,357.0,373.1,356.4,365.15,12156357,2017-02-28
GOLDBEES,2700.05,2710.7,2686.05,2702.15,10438,2017-02-28
HDFCBANK,1392.9,1396.25,1384.5,1390.1,732002,2017-02-28
HINDUNILVR,865.5,868.45,858.15,865.9,1409380,2017-02-28
ICICIBANK,278.95,280.1,275.7,276.35,16527127,2017-02-28
INFY,1011.85,1022.7,1009.25,1012.4,2970066,2017-02-28
ITC,263.0,264.6,260.9,262.2,8240790,2017-02-28
KOTAKBANK,801.9,808.45,798.8,802.1,972189,2017-02-28
LT,1472.0,1487.95,1466.15,1469.2,1182372,2017-02-28
MARUTI,5946.3,6000.0,5914.8,5922.5,558820,2017-02-28
